course_id,is_paid,price,num_subscribers,num_reviews,num_lectures,level,content_duration,subject,year_p,month_p,date_p,is_success
1070968,True,200,2147,23,51,All Levels,1.5,Business Finance,2017,1,18,1
1113822,True,75,2792,923,274,All Levels,39.0,Business Finance,2017,3,9,1
1006314,True,45,2174,74,51,Intermediate Level,2.5,Business Finance,2016,12,19,1
1210588,True,95,2451,11,36,All Levels,3.0,Business Finance,2017,5,30,1
1011058,True,200,1276,45,26,Intermediate Level,2.0,Business Finance,2016,12,13,0
192870,True,150,9221,138,25,All Levels,3.0,Business Finance,2014,5,2,1
739964,True,65,1540,178,26,Beginner Level,1.0,Business Finance,2016,2,21,1
403100,True,95,2917,148,23,All Levels,2.5,Business Finance,2015,1,30,1
476268,True,195,5172,34,38,Expert Level,2.5,Business Finance,2015,5,28,1
1167710,True,200,827,14,15,All Levels,1.0,Business Finance,2017,4,18,0
592338,True,200,4284,93,76,All Levels,5.0,Business Finance,2015,9,11,1
975046,True,200,1380,42,17,All Levels,1.0,Business Finance,2016,10,18,0
742602,True,30,3607,21,19,All Levels,1.5,Business Finance,2016,2,3,1
794151,True,195,4061,52,16,All Levels,2.0,Business Finance,2016,3,16,1
1196544,True,200,294,19,42,All Levels,7.0,Business Finance,2017,4,28,0
504036,True,75,2276,106,19,Intermediate Level,1.5,Business Finance,2015,6,22,1
719698,True,20,4919,79,16,Beginner Level,1.5,Business Finance,2016,1,8,1
564966,True,200,2666,115,52,All Levels,4.0,Business Finance,2015,8,10,1
606928,True,50,5354,24,23,All Levels,1.5,Business Finance,2015,9,21,1
58977,True,95,8095,249,12,Beginner Level,0.58,Business Finance,2013,6,9,1
1242604,True,200,809,3,25,All Levels,2.0,Business Finance,2017,6,6,0
798740,True,200,2295,84,39,All Levels,4.0,Business Finance,2016,5,2,1
506568,True,75,10149,83,16,All Levels,2.0,Business Finance,2015,5,26,1
1020760,True,50,1916,38,23,Beginner Level,1.0,Business Finance,2016,12,5,1
859742,True,45,2507,333,40,All Levels,2.0,Business Finance,2016,5,30,1
383414,True,150,5786,518,50,All Levels,5.0,Business Finance,2015,1,31,1
353044,True,200,5334,373,42,All Levels,4.5,Business Finance,2014,11,28,1
447362,True,175,4005,237,25,Intermediate Level,2.0,Business Finance,2015,4,12,1
831066,True,150,2877,103,81,All Levels,4.5,Business Finance,2016,4,26,1
1266306,True,140,1026,25,37,Beginner Level,3.0,Business Finance,2017,6,27,0
1170894,True,95,1165,21,41,Beginner Level,2.5,Business Finance,2017,5,28,0
948974,True,200,1843,171,35,All Levels,1.5,Business Finance,2016,10,4,1
380970,True,45,8797,449,80,All Levels,6.5,Business Finance,2015,1,9,1
1217778,True,200,1030,11,22,All Levels,2.0,Business Finance,2017,6,1,0
1246208,True,200,1041,12,28,All Levels,1.5,Business Finance,2017,6,11,0
434774,True,195,7884,118,68,Intermediate Level,10.0,Business Finance,2015,5,19,1
308690,True,195,16900,2476,52,Beginner Level,5.5,Business Finance,2014,12,12,1
888716,True,200,11441,1118,61,All Levels,4.5,Business Finance,2016,6,28,1
321410,True,195,22257,2697,138,All Levels,7.5,Business Finance,2014,11,25,1
965832,True,195,8575,809,110,All Levels,5.5,Business Finance,2016,10,10,1
