course_id,price,num_lectures,content_duration,year_p,month_p,date_p,is_success,level_enc,is_paid_False,is_paid_True,business_subject,graphic_subject,music_subject,webdev_subject
1070968,200,51,1.5,2017,1,18,1,0,0,1,1,0,0,0
1113822,75,274,39.0,2017,3,9,1,0,0,1,1,0,0,0
1006314,45,51,2.5,2016,12,19,1,2,0,1,1,0,0,0
1210588,95,36,3.0,2017,5,30,1,0,0,1,1,0,0,0
1011058,200,26,2.0,2016,12,13,0,2,0,1,1,0,0,0
192870,150,25,3.0,2014,5,2,1,0,0,1,1,0,0,0
739964,65,26,1.0,2016,2,21,1,1,0,1,1,0,0,0
403100,95,23,2.5,2015,1,30,1,0,0,1,1,0,0,0
476268,195,38,2.5,2015,5,28,1,3,0,1,1,0,0,0
1167710,200,15,1.0,2017,4,18,0,0,0,1,1,0,0,0
592338,200,76,5.0,2015,9,11,1,0,0,1,1,0,0,0
975046,200,17,1.0,2016,10,18,0,0,0,1,1,0,0,0
742602,30,19,1.5,2016,2,3,1,0,0,1,1,0,0,0
794151,195,16,2.0,2016,3,16,1,0,0,1,1,0,0,0
1196544,200,42,7.0,2017,4,28,0,0,0,1,1,0,0,0
504036,75,19,1.5,2015,6,22,1,2,0,1,1,0,0,0
719698,20,16,1.5,2016,1,8,1,1,0,1,1,0,0,0
564966,200,52,4.0,2015,8,10,1,0,0,1,1,0,0,0
606928,50,23,1.5,2015,9,21,1,0,0,1,1,0,0,0
58977,95,12,0.58,2013,6,9,1,1,0,1,1,0,0,0
1242604,200,25,2.0,2017,6,6,0,0,0,1,1,0,0,0
798740,200,39,4.0,2016,5,2,1,0,0,1,1,0,0,0
506568,75,16,2.0,2015,5,26,1,0,0,1,1,0,0,0
1020760,50,23,1.0,2016,12,5,1,1,0,1,1,0,0,0
859742,45,40,2.0,2016,5,30,1,0,0,1,1,0,0,0
383414,150,50,5.0,2015,1,31,1,0,0,1,1,0,0,0
353044,200,42,4.5,2014,11,28,1,0,0,1,1,0,0,0
447362,175,25,2.0,2015,4,12,1,2,0,1,1,0,0,0
831066,150,81,4.5,2016,4,26,1,0,0,1,1,0,0,0
1266306,140,37,3.0,2017,6,27,0,1,0,1,1,0,0,0
1170894,95,41,2.5,2017,5,28,0,1,0,1,1,0,0,0
948974,200,35,1.5,2016,10,4,1,0,0,1,1,0,0,0
380970,45,80,6.5,2015,1,9,1,0,0,1,1,0,0,0
1217778,200,22,2.0,2017,6,1,0,0,0,1,1,0,0,0
1246208,200,28,1.5,2017,6,11,0,0,0,1,1,0,0,0
434774,195,68,10.0,2015,5,19,1,2,0,1,1,0,0,0
308690,195,52,5.5,2014,12,12,1,1,0,1,1,0,0,0
888716,200,61,4.5,2016,6,28,1,0,0,1,1,0,0,0
321410,195,138,7.5,2014,11,25,1,0,0,1,1,0,0,0
965832,195,110,5.5,2016,10,10,1,0,0,1,1,0,0,0
648826,195,174,10.0,2016,1,21,1,0,0,1,1,0,0,0
1035472,195,103,6.5,2017,3,30,1,0,0,1,1,0,0,0
1154754,195,79,11.5,2017,3,29,1,1,0,1,1,0,0,0
627540,115,25,1.0,2015,10,22,1,2,0,1,1,0,0,0
301442,200,227,16.0,2014,10,27,1,0,0,1,1,0,0,0
640100,150,43,3.0,2015,10,22,1,0,0,1,1,0,0,0
1247394,95,35,5.0,2017,6,21,0,0,0,1,1,0,0,0
260470,200,42,5.5,2014,10,12,1,0,0,1,1,0,0,0
1214702,190,46,5.0,2017,5,24,0,0,0,1,1,0,0,0
848664,150,62,2.0,2016,8,10,1,0,0,1,1,0,0,0
1142570,200,53,2.0,2017,5,2,1,3,0,1,1,0,0,0
